@lat,@lon,title,city,description,category
41.96246,21.47642,Kartal Winery,Skopje,"ul.1519 br.7 Skopje MK, 1000",wine tours & tasting
42.0001818,21.4358622,Winery Temov,Skopje,,wine tours & tasting
41.7774687,21.740898,Winery „Chateau Sopot“,Veles,"MK, Велес 1400",wine tours & tasting
41.4943704,22.0915153,Bovin Winery,Negotino," Индустриска, Неготино 1440",winery
41.31551,22.12809,Grkov Winery,Krnjevo,"109, 1437",vineyard
41.18488,20.87712,Monastery Winery,Ohrid,"MK, Охрид 6000",wine tours & tasting
41.43616,22.00478,Семејна винарија „Захарчев“,Kavadarci," Косовска 16, Кавадарци 1430",winery
41.1565123879417,20.7744125611764,S&S Winery,Ohrid,,winery
41.4314806985351,22.2155786382355,Винарија „Попова кула“,Demir Kapija,"Wine Boulevard No.1, Демир Капија 1442",wine tours & tasting
42.0230553050477,21.4820436173274,Винарија „Камник“,Skopje,"Kamnik bb Skopje MK, 1000",wine cellar
42.031928382039,21.3430012192053,Winery Kuvin,Skopje,"Македонска Преродба бр.70, Скопје 1000",winery
41.447362964426,22.0011691838394,Семејна винарија „Пешков“,Kavadarci,"C2G3+7HV, Кавадарци",winery
41.4514803125273,22.0080356385092,Bela Voda - Tikves Winery Vineyadrs,Sojaklari,"QQXC+GVP, Сојаклари",vineyard
41.1270901861601,20.7941755838394,Винарија - Мал Свети Климент,Ohrid,"Metodi Patče 8, Охрид 6000",wine tours & tasting
41.6007472669358,21.9348533747733,Winery Stobi,Kavadarci,"Avtopat b.b., Градско 1400",wine tours & tasting
42.0841270103421,21.3245229203772,Борд лајф,Skopje,"1106, Skopje 1000, Скопје",winery
41.5670086520571,21.9683505929054,Винарија „Лазар“,,"Naseleno mesto bez ulicen sistem MK, Stobi, Паликура 1422",winery
41.3405713004496,21.5624124288099,Sarika Winery,Prilep,"Мирче Ацев 128, Прилеп 7500",winery
42.0072504332675,21.4144778747733,Vardar Winery & Wines,Skopje,"Васил Ѓоргов, Скопје 1000",winery
41.1542106716206,22.4765027110374,Jostela,Gevgelija,"Moinski Pat, Гевгелија 1480",winery
41.4609706075295,21.9965058291695,Винарија „Бади“,Kavadarci,"Pere Toshev 3, Kavadartsi 1430",winery
41.7910240437824,21.7616278019714,OldSchoolWinery,Veles,"Lake Mladost Veles MK, 1400",winery
41.4831027744164,22.0816772838394,Семејна винарија „Томов“,,Тимјаник 1440,winery
41.5361453442841,22.0383166921469,Винарија „Домен Лепово“,Неготино,Неготино,winery
41.0516734773526,21.2887892929054,Винарија „Чифлик“,Bitola,"2 br.18 Brusnik, Битола",winery
41.7352940231929,21.7905175475753,Семејни вина Коцев,Veles,"Прохор Пчински, Велес",winery
41.5121060041492,22.0213825657073,Винарија „Попов“,Veles,"F2RC+JH6, Сопот",winery
42.0423640706085,21.4816188407544,Винарска визба Тиквеш АД Скопје,Skopje,"810 no. 2, Скопје 1000",wine cellar
41.4300827077363,22.0193781830194,Winery „Donov“,Kavadarci,"Lazo Asijata br 6, Кавадарци",winery
41.7890002609576,21.7910579100262,Tristo Winery,,,vineyard
41.3283201789004,22.1314460539774,Барово,Demir Kapija,"MK, 109, 1430",vineyard
41.0483365437702,21.3471372693183,Винарска визба Лозар,Bitola,"28XW+2V9, Битола",wine cellar
42.0071493039076,21.3463656322676,Vinar Vinery ,Skopje,"Сремски Фронт, Скопје 1000",wine cellar
